Epochs,Accuracy,,Learning Updates,,Learning Updates,
,Reluctant Learning,Standard,Reluctant Learning,Standard,Reluctant Learning,Standard
10,86.16%,77.11%,542012,500000,542012,500000
20,87.13%,82.35%,529435,500000,1071447,1000000
30,87.46%,84.79%,522904,500000,1594351,1500000
40,87.88%,85.51%,519180,500000,2113531,2000000
50,87.83%,85.63%,517199,500000,2630730,2500000
60,87.73%,86.23%,513017,500000,3143747,3000000
70,87.98%,86.72%,511884,500000,3655631,3500000
80,88.86%,86.84%,508271,500000,4163902,4000000
90,88.87%,87.36%,508276,500000,4672178,4500000
100,88.95%,87.36%,507130,500000,5179308,5000000
110,88.66%,87.49%,504306,500000,5683614,5500000
120,88.87%,87.49%,503979,500000,6187593,6000000
130,88.90%,87.37%,505304,500000,6692897,6500000
140,88.90%,87.50%,505024,500000,7197921,7000000
150,88.98%,87.91%,498626,500000,7696547,7500000
160,,,493423,500000,8189970,8000000
170,,,488286,500000,8678256,8500000
180,,,484858,500000,9163114,9000000
190,,,490661,500000,9653775,9500000
200,,,485537,500000,10139312,10000000
210,,,485385,500000,10624697,10500000
220,,,485435,500000,11110132,11000000
,,,,11000000,,
